metadata_field,canonical_name,confidence,count,n_snapshots,support,corpora_count,figure_count,table_count,source_snapshot_count,source_document_count,source_both_count,top_observed_values,n_unique_observed_values,top_description_values,top_reasoning_values
statistical_measures,measure_type,high,4,4,0.019047619,1,0,4,4,0,0,"['Coef.; Std. Err.; P-value', 'Mean; S.D.', 'Regression coefficients; robust standard errors; mean of dependent variable; observations; number of groups; R-squared']",3,"['The statistical quantities reported for each model variable.', 'Statistical quantities reported for each model variable.', 'Statistical measures reported in the table columns.']","['These measures indicate the table contains inferential regression outputs useful for analytical reuse.', 'These measures enable users to identify tables containing coefficients, uncertainty estimates, and significance levels.', 'Statistical measures are essential for discovering tables containing summary statistics.']"
statistical_method,analysis_method,high,4,4,0.019047619,1,3,1,4,0,0,"['KL (2000) test detected breaks', 'IT test; KL test', 'Regression analysis; first-stage regressions']",3,"['Named analytical or statistical method associated with the displayed results.', 'Statistical method, test, or model referenced in the snapshot.', 'Named statistical method or test referenced in the figure.']","['Method metadata improves discovery for users looking for results based on specific structural break tests.', 'The named test provides methodological context for the detected structural breaks.', 'Methods metadata enables retrieval of figures using specific analytical techniques.']"
snapshot_date,reference_date,high,4,4,0.019047619,1,4,0,4,0,0,"['10/1/98', 'June 1997', '9/4/97']",3,"['Date explicitly associated with the snapshot content.', 'Date or period explicitly associated with the snapshot itself.', 'Date printed or associated with the snapshot itself.']","['The snapshot date helps distinguish this statistical profile from other country-at-a-glance editions.', 'The map date is important for interpreting the currency of the spatial information.', 'The snapshot date helps distinguish this country profile from other editions or time-varying statistical summaries.']"
section_headings,subject_domain,medium,4,4,0.019047619,1,4,0,4,0,0,['PRICES and GOVERNMENT FINANCE; TRADE; BALANCE of PAYMENTS; EXTERNAL DEBT and RESOURCE FLOWS'],1,"['Named sections or panels organizing the table or multi-panel snapshot.', 'Major topical sections organizing the indicators in the snapshot.', 'Major internal sections or thematic blocks within a table or compound data snapshot.']","['Section headings expose the internal structure and improve discovery within composite statistical tables.', 'Section headings reveal the snapshot’s substantive coverage beyond the project-focused document metadata.', 'Section headings help users locate specific groups of indicators within a dense multi-topic table.']"
y_axis_value_range,indicator_name,medium,4,4,0.019047619,2,4,0,4,0,0,"['0.0 to 1.0', '0% to 40% approximately, with labeled ticks at 10%, 20%, 30%, and 40%']",2,"['The numeric range displayed on the vertical axis.', 'Displayed numeric range of the value axis.', 'Range of values shown on the vertical axis.']","['The plotted range helps assess magnitude and comparability with other percentage-based figures.', 'The vertical range indicates the scale of the plotted adjustment-function values.', 'The displayed value range supports interpretation and potential reuse of the plotted data.']"
document_title,source_document_title,high,4,4,0.019047619,2,2,2,0,4,0,"['Lebanon - Emergency Education System Stabilization Project', 'Investment in natural gas pipelines in the Southern Cone of Latin America', 'Trade and growth in Ecuador : a partial equilibrium view', 'Education and wage differentials in the Philippines']",4,"['The title of the source document containing the table.', 'Title of the source document containing the table.', 'Title of the source document containing the figure.']","['The document title provides contextual provenance but is less specific than snapshot-level metadata.', 'The document title links the snapshot to the broader study on natural gas infrastructure and regional energy investment.', 'The document title provides provenance and broader topical context for the table.']"
summary_total,not_in_ontology,high,4,4,0.019047619,2,0,4,4,0,0,"['Total shown: 75 primary health care centers and 150,690 beneficiaries', '315', '1,859 total violations; 100%', '2,345 total violations; 100% total share']",4,"['Aggregate total values explicitly reported in the table.', 'Aggregate total reported for the quantitative indicator.', 'Overall total or aggregate value reported in the table.']","['Totals help users quickly assess the scale of the data summarized in the table.', 'A reported total supports quick assessment and comparison across similar tables.', 'The aggregate total supports quick assessment of scale and analytical reuse.']"
thematic_area,subject_domain,high,3,3,0.014285714,2,1,2,2,0,1,"['Foundational learning; reading, writing and numeracy; educational resources; teacher professional development; national foundational learning campaign; secure Wifi connection; learning platform; energy efficiency standards', 'Protection', 'GBV; CP']",3,"['Subject matter or policy theme represented by the table contents.', 'The broad programmatic or subject area represented by the snapshot.', 'The thematic or sectoral area associated with a reported indicator or section.']","['Thematic areas enrich document-level education metadata with the specific topics present in this table.', 'This supports thematic filtering and retrieval of snapshots related to protection programming.', 'Thematic areas support faceted browsing and retrieval of sector-specific needs data.']"
map_date,reference_date,high,3,3,0.014285714,1,3,0,3,0,0,"['May 1998', 'May 2011', 'February 1999']",3,"['The date printed on the map snapshot.', 'Date associated with the map or cartographic product.', 'Date printed on or associated with the map.']","['The map date helps users assess temporal relevance and distinguish map versions.', 'Map date is important because boundaries, roads, and place names can change over time.', 'Map date helps users assess temporal relevance and distinguish map versions.']"
location_names,geographic_entities,high,3,3,0.014285714,2,2,1,3,0,0,"['Meheba; Mayukwayukwa; Lusaka; Mantapala', 'Aleppo; Hassakeh; Idlib; Latakia; Hama; Tartous; Homs; Damascus; Rural Damascus; Quneitra; Daraa; Sweida; Raqqa; Deir es Zour', 'Examples include Other, IDP Camp, Lusenda, Meri, Maratane Camp, Meheba, Dzaleka, Tongogara, Osire, Dukwe']",3,"['Specific places, settlements, cities, or sites represented as data locations.', 'Named geographic units visible in the figure.', 'Named camps, settlements, sites, or other locations used as subnational rows.']","['Named locations make the figure searchable for settlement- or city-level refugee information.', 'Location names make otherwise visual map content discoverable by place.', 'Location names enable granular discovery beyond country-level metadata.']"
map_title,title,high,3,3,0.014285714,1,3,0,3,0,0,"['JORDAN COMMUNITY INFRASTRUCTURE PROJECT: LOCATION OF SQUATTER SETTLEMENTS IN GREATER AMMAN', 'Croatia Reconstruction Project for Eastern Slavonia, Baranja and Western Srijem', 'WEST BANK and GAZA']",3,"['Title or caption describing the subject of a map snapshot.', 'The title or primary heading of a map snapshot.', 'Title or heading identifying the subject of the map.']","['The title directly identifies the project, feature type, and local geographic focus of the map.', 'The map title directly identifies the project and geographic focus represented in the snapshot.', 'The map title is the primary searchable label for understanding the snapshot independently of the document.']"
measure_names,indicator_name,high,3,3,0.014285714,2,0,3,3,0,0,"['# incidents; % incidents', 'Share in total subsidy; domestic price; domestic subsidized price; price at the Yemen border; total annual subsidy; total subsidy reduction; subsidy as a percentage of import prices; total fuel subsidy', 'Tariffs; NTBs']",3,"['The quantitative measures reported for each category.', 'The named quantitative measures reported in the table.', 'The named measures or variables reported as table columns or column groups.']","['Measure names reveal that both counts and shares are available for analytical reuse.', 'Measure names make the table reusable for finding specific subsidy, price, and savings variables.', 'Measure names expose the specific quantitative content available for analytical reuse.']"
transportation_features,location_type,high,3,3,0.014285714,1,3,0,3,0,0,"['Main roads; Secondary roads', 'Airports/airfields; major highways; two or more lanes, hard surfaced roads; railroads', 'Roads; route connections labeled to Bukavu, Uvira, Butare, Nyakanazi, Kibondo, and Kigoma']",3,"['Transport infrastructure types represented as map features.', 'Transportation infrastructure classes represented in the map.', 'Transportation networks or routes depicted in the snapshot.']","['Transport layers provide useful context for infrastructure and accessibility analysis.', 'Transportation features are analytically useful for infrastructure and accessibility-related discovery.', 'Transportation features are useful for finding maps relevant to access, infrastructure, and connectivity.']"
model_fit_statistic,indicator_name,medium,3,3,0.014285714,1,0,3,3,0,0,"['R-sq=0.52 for model (1); R-sq=0.54 for model (2)', 'R-squared: 0.33 for white collar adjustment; 0.31 for blue collar adjustment; 0.31 for capital adjustment', 'R-squared values shown as 0.5, 0.5, 0.1, 0.1, and 0.5 across visible columns']",3,"['Goodness-of-fit statistics reported for the model specifications.', 'Goodness-of-fit statistic reported for the model.', 'Model fit or diagnostic statistics reported in the table.']","['Model fit statistics help users assess and compare empirical results across tables.', 'Model fit statistics support comparison and assessment of estimated models.', 'Model fit statistics help users assess and compare regression specifications.']"
calculation_note,calculation_method,high,3,3,0.014285714,3,0,3,3,0,0,"['Population weights used for poverty rate calculation', 'Labor income has been computed for male workers aged [14,35]', 'Occupied parcels are evaluated using the median prices corresponding to the respective communities; rented-in and borrowed-in parcels are excluded while computing the value of land occupied by the household.']",3,"['Methodological note explaining how the values were calculated or weighted.', 'A methodological note explaining how the reported values were computed or scoped.', 'Footnote or note describing how a variable or statistic was computed.']","['Calculation notes provide context needed to interpret and reuse the estimates.', 'Calculation notes preserve methodological context needed for correct reuse.', 'Calculation notes preserve methodological context needed to interpret land value indicators correctly.']"
calculation_method,calculation_method,high,3,3,0.014285714,2,0,3,3,0,0,"['Simulation using EDAM 4', 'Own calculation', 'Authors’ calculations; tariff changes are unweighted; nontariff barriers are estimated using a price-differential decomposition.']",3,"['Model, method, or analytical approach used to generate the reported values.', 'A statement of how the table values were generated or derived.', 'Methodological information about how reported values or changes were calculated.']","['Method information helps users identify simulated estimates and compare tables using similar approaches.', 'Calculation method helps distinguish original estimates from directly reported source data.', 'Calculation methods provide essential context for interpreting and comparing quantitative table values.']"
comparison_type,comparison_group,medium,3,3,0.014285714,2,1,2,3,0,0,"['Within-country comparison by gender, location, wealth quintile, and grade; cross-country comparison of GER', 'Before-after comparison', 'Pre-test versus post-test comparison']",3,"['Type of comparison enabled by the figure.', 'Type of comparison represented by the table columns or categories.', 'Type of comparison represented by the table.']","['Comparison type helps users find figures suited to benchmarking or equity analysis.', 'Comparison type improves discovery of tables showing simulated or temporal changes.', 'Comparison type is useful for discovering evaluative or before-after data.']"
parent_document_title,source_document_title,high,3,3,0.014285714,1,3,0,0,3,0,"['Trade integration as a way forward for the Arab world : a regional agenda', 'Africa and Arab Gulf states : divergent development paths and prospects for convergence', ""Services in Doha : what's on the table ?""]",3,"['The title of the source document containing the figure.', 'The title of the source document containing the snapshot.']","['The parent title provides context for interpreting the figure within a regional trade integration agenda.', 'The parent title provides context for why Oman and Botswana are being compared but is less specific than snapshot-level metadata.', 'The parent title provides contextual retrieval value when the figure is indexed independently.']"
subnational_geographic_units,geographic_entities,high,3,3,0.014285714,1,2,1,3,0,0,"['Obock; Tadjourah; Djibouti; Arta; Ali Sabieh; Dikhil', 'North-Western, Western, Lusaka, Northern, Luapula, Muchinga, Copperbelt, Central, Eastern, Southern', 'Mogadishu; Garowe; Hargeisa']",3,"['Administrative or subnational areas shown or referenced in the snapshot.', 'Named subnational administrative areas visible or referenced in the snapshot.', 'Cities, municipalities, regions, or other subnational locations referenced in the table.']","['Subnational place names improve discovery beyond the document-level country metadata.', 'Subnational units improve discovery of geographically specific data within the country.', 'The table contains city-specific content that is more granular than the document-level country metadata.']"
age_group,population_group,high,3,3,0.014285714,1,0,3,3,0,0,"['15–18 years; 19–24 years', 'Women: 19–59; Men: 19–59 and 60+; Adolescent Boys: 14–18; Adolescent Girls: 14–18', 'Adults; Children']",3,"['Age categories used to break down the data.', 'Age ranges or age categories associated with the represented population groups.', 'Age-based population categories represented in the table.']","['Age-group breakdowns are important for demographic filtering and analytical reuse.', 'Age-group metadata supports demographic filtering and assessment of participant composition.', 'Age groups allow filtering and comparison of needs affecting adults and children.']"
value_type,measure_type,high,3,3,0.014285714,1,3,0,3,0,0,"['Absolute numeric counts', 'Share or proportion of cases; inferred from percentage values in a pie chart', 'Percentage distribution within each service category and year']",3,"['Type of quantitative value displayed in the figure.', 'The statistical nature of the reported values, such as count, percentage, rate, or index score.', 'The type of quantitative value encoded in the figure.']","['Distinguishing counts from percentages or rates supports analytical reuse.', 'Value type helps users understand whether the figure reports composition, magnitude, or another measurement form.', 'This clarifies that values are proportional shares rather than counts or totals.']"
x_axis_value_range,not_in_ontology,high,3,3,0.014285714,1,3,0,3,0,0,"['-2 to 2', 'Approximately -2 to 2']",2,"['The numeric range displayed on the horizontal axis.', 'Range of values shown on the horizontal axis.']","['The axis range helps characterize the domain over which the adjustment functions are evaluated.', 'Axis ranges help users assess the analytical domain covered by the figure.', 'Axis range helps interpret the domain over which the adjustment function is plotted.']"
estimate_type,measure_type,medium,3,3,0.014285714,1,0,3,3,0,0,"['Regression coefficients with significance markers', 'Marginal effects reported for the probit specifications; regression estimates with standard errors in parentheses', 'Regression coefficients with positive and negative numeric estimates']",3,"['The type of quantitative estimate reported in the table cells.', 'The type of statistical estimate or reported result shown in the table.', 'Type of statistical estimate reported in the body of the table.']","['Estimate type is essential for analytical reuse of statistical tables.', 'Estimate type helps users interpret and compare quantitative results across tables.', 'Estimate type helps distinguish coefficients from descriptive statistics or raw data values.']"
figure_identifier,internal_identifier,high,3,3,0.014285714,2,3,0,3,0,0,"['Figure A3-1', 'Figure 6', 'Figure A - 2']",3,"['The figure number or label used to identify the snapshot within the document.', 'The figure number or label used to identify the snapshot within the source document.', 'Document-assigned identifier or numbering for the figure.']","['A figure identifier supports citation, cross-reference, and provenance within the source document.', 'The figure identifier supports citation, cross-referencing, and retrieval within the document.', 'The figure identifier supports citation, cross-reference, and navigation within the source document.']"
uncertainty_measure,interpretive_note,medium,3,3,0.014285714,1,0,3,3,0,0,"['Robust standard errors clustered at the household level are in parentheses', 'Standard errors in brackets', 'Standard deviation of variables and standard error of the differences are in parentheses']",3,"['The reported measure of statistical uncertainty and how it is calculated.', 'Measure of statistical uncertainty reported with estimates.', 'Measures of variability or uncertainty reported alongside estimates.']","['Uncertainty metadata supports correct interpretation and reuse of regression results.', 'Uncertainty metadata helps users assess and compare empirical results.', 'Uncertainty metadata supports correct interpretation and analytical reuse of reported estimates.']"
financial_topic,subject_domain,high,3,3,0.014285714,1,0,3,3,0,0,"['Project financing data', 'Allocation of Loan Proceeds']",2,"['The financial subject area represented by the table.', 'The broad financial subject represented by the table.', 'The financial subject or purpose represented by the table.']","['A normalized topic enables discovery of tables about financing, costs, and funding structures across documents.', 'This enables discovery of tables about project financing across documents.', 'This captures the semantic focus of the table beyond the broader project metadata.']"
data_granularity,not_in_ontology,low,3,3,0.014285714,2,0,3,3,0,0,"['Monthly counts by territory and violation category', 'Country-level', 'Firm-level data']",3,"['Level of temporal, geographic, and categorical detail represented in the data.', 'Level of aggregation at which the data is reported.', 'The unit level at which the underlying data are analyzed.']","['Granularity helps determine whether the table is suitable for specific analytical uses.', 'Granularity supports appropriate analytical reuse and comparison.', 'Granularity is important for distinguishing firm-level analysis from sectoral or country-level analysis.']"
footnote_text,interpretive_note,high,3,3,0.014285714,2,0,3,3,0,0,"['The disbursement percentages have been calculated to exclude Bank financing of local taxes and import duties. The percentages to be applied to each invoice total.', '** Données UNMAS jusqu’à juillet 2023 (110) + données INSO depuis juillet', 'Includes budgets for other protracted refugees at the same locations']",3,"['Explanatory note or qualification attached to the table.', 'Footnote or explanatory note attached to one or more table values.']","['Footnotes clarify how financing percentages should be interpreted.', 'The footnote qualifies the 2023 value and explains the data-source combination.', 'Footnotes clarify the scope and interpretation of reported values.']"
data_source_citation,data_source,high,3,3,0.014285714,1,2,1,3,0,0,"['World Development Indicators', 'Authors’ computations based on World Economic Forum Global Competitiveness Report for trade facilitation indicators, COMTRADE for trade flows, UNCTAD TRAINS for tariffs, and World Bank World Development Indicators for GNI']",2,"['Citation or source for the data values shown in the figure.', 'The source cited for the data used in the figure.', 'The cited sources used to produce the table data.']","['A data source citation would support provenance tracking and assessment of analytical reliability.', 'Source citation supports provenance tracking and validation of figure data.', 'Source citations support provenance tracking and evaluation of data reliability.']"
geographic_granularity,geographic_granularity,high,3,3,0.014285714,2,2,1,3,0,0,"['Country level', 'Province / provincial boundaries', 'Subnational regions with a total aggregate row']",3,"['The spatial level at which entities are represented.', 'The administrative or spatial level at which values are represented.', 'The level of geographic detail represented in the data.']","['Geographic granularity helps users filter figures by whether data are shown at country, regional, or other spatial levels.', 'Granularity distinguishes province-level estimates from district, regional, or national figures.', 'Granularity is useful for distinguishing national summaries from regional comparisons.']"
geographic_dimension,category_dimension,high,3,3,0.014285714,2,2,1,3,0,0,"['Country of Submission', 'Region or economy group', 'Region']",3,"['Geographic dimension used to categorize the data.', 'The geographic grouping dimension used for comparison along the category axis.', 'The geographic dimension used to organize or compare the table results.']","['The country-based dimension enables geographic filtering and comparison.', 'Knowing the geographic comparison dimension supports filtering and cross-figure comparison.', 'The region dimension is necessary to understand the column structure and compare results spatially.']"
geographic_units,geographic_entities,high,3,3,0.014285714,2,1,2,3,0,0,"['Tripoli; El Minieh Dennie; El Koura; El Batroun; Zgharta; Bcharre', 'Examples visible include Kayes, Bamako, Ségou, Mopti, Gao, Kidal, Ménaka, Tombouctou, Nioro, Nara, Kita, Koulikoro, Sikasso, Koro, Ansongo, Tessalit, Abeibara, Tin-Essako, Goundam, Bourem, Douentza, Bandiagara, Bankass, San, Bla, Dioila, Koutiala, Yanfolila, Kadiolo', 'Managua; Caracas; Barquisimeto, Ven.; Mérida, Ven.; Panama City and Colon; Guatemala City']",3,"['Specific geographic entities used as rows or data categories.', 'Named geographic units represented in the figure.', 'Specific geographic entities represented in the table.']","['These place names enable location-based search and faceted browsing.', 'Named spatial units enable place-based search within a map beyond the country level.', 'City-level geographic indexing enables discovery beyond the broader regional metadata.']"
data_value_range,not_in_ontology,high,3,3,0.014285714,3,3,0,3,0,0,"['21% to 37%', '1% to 60%', 'Approximately -0.8 to 0.8 on the displayed correlation scale']",3,"['The minimum and maximum values shown in the figure.', 'Range of numeric values visible in the chart.', 'The visible range of quantitative values shown on the chart scale.']","['A value range helps users filter and compare figures without reading every data point.', 'The value range helps characterize the magnitude and variability of the displayed data.', 'The value range helps users assess scale and comparability without extracting every plotted point.']"
data_domain,subject_domain,high,3,3,0.014285714,2,3,0,3,0,0,"['Prices and government finance; Trade; Balance of payments; External debt and resource flows', 'Exports in global product space']",2,"['Broad subject areas represented by the indicators in the snapshot.', 'Broad subject domains represented in the snapshot.', 'Broad economic or analytical domain represented by the figure data.']","['The snapshot covers macroeconomic domains that differ substantially from the transport-focused document metadata.', 'The domains summarize the economic content and distinguish this snapshot from the project-level water infrastructure metadata.', 'The data domain captures the substantive topic beyond the document-level title.']"
population_group_categories,population_group,high,3,3,0.014285714,1,0,3,3,0,0,['Refugee; Asylum-Seeker; Other of Concern; IDP by Conflict; Returned IDP; Refugee Returnee; Statelessness; Host Community'],1,"['The population group categories used as data columns.', 'The population categories represented as columns in the table.', 'The population categories used to disaggregate the reported counts.']","['These categories are central to searching and comparing displacement-related tables.', 'These categories are central to searching and comparing humanitarian population data.', 'These categories are central to discovering and comparing humanitarian population data.']"
financial_metric,financial_metric,high,3,3,0.014285714,2,1,2,3,0,0,"['Total Project Cost; Total Financing; Financing Gap; Credit Amount; Grant Amount; Guarantee Amount; Total Amount; Annual; Cumulative', 'Bank amount, IDA amount, undisbursed amount, total approved, repayments, outstanding balance, amount sold', 'Overall financial requirements; funding gap; funding']",3,"['Financial measures or indicators reported in the table.', 'Financial measures reported in the table.', 'Financial measures or funding concepts shown in the snapshot.']","['Capturing reported financial metrics supports analytical reuse and metric-based search.', 'Financial metrics enable discovery and reuse of quantitative lending information.', 'Financial metric labels make humanitarian financing content discoverable beyond the document title.']"
ranking_basis,indicator_name,high,3,3,0.014285714,2,1,2,3,0,0,"['Districts with the highest number of households evicted', 'Final Weight values rank HAND highest at 0.208 and Rain (Int.+Dur.) lowest at 0.058', 'Share of foreign banks, specifically asset share of foreign banks in percent of total assets']",3,"['The criterion used to select or order the displayed categories.', 'Basis used to order or prioritize entities in the snapshot.', 'The metric used to rank or order entities in the table.']","['Ranking basis indicates that the chart highlights top districts rather than all districts.', 'Ranking information helps users find snapshots that prioritize or weight variables.', 'Ranking basis is important for discovering ranked comparative tables.']"
analytical_focus,subject_summary,high,3,3,0.014285714,1,2,1,3,0,0,"['Health inputs', 'Change in provincial poverty incidence between 1999 and 2006', 'Relationship between GDP growth and agricultural growth']",3,"['The broad substantive construct or outcome domain analyzed in the table.', 'The main analytical relationship or question represented by the figure.', 'The main analytical relationship or comparison presented by the figure.']","['This field identifies the main analytical subject beyond the document-level theme.', 'Capturing the focus on temporal change improves retrieval for poverty reduction and trend analysis.', 'Capturing the analytical focus improves discovery beyond simple keyword matching.']"
policy_variable,series_dimension,medium,3,3,0.014285714,1,2,1,3,0,0,"['Tariff', 'Open, defined as the annual change in tariff levels']",2,"['The policy variable used to define scenarios or comparisons in the figure.', 'The policy or explanatory variable used to differentiate series or scenarios in the figure.', 'Policy-related variable used in the analysis.']","['Policy-variable tagging makes the figure discoverable for trade protection and tariff analysis.', 'The tariff variable is central to searching for figures about trade protection and labor adjustment.', 'The policy variable is key for discovering tables about trade liberalization and tariff effects.']"
summary_statistic,measure_type,high,3,3,0.014285714,1,0,3,3,0,0,"['Mean; Median', 'Total by territory, total by category, and percentage share', 'Regional Average GER']",3,"['The statistical measures used to summarize the reported values.', 'Aggregate or summary measures provided in the table.', 'A summary or aggregate statistic included in the table.']","['Summary statistics are necessary to compare values correctly across tables.', 'Summary statistics support analytical reuse by identifying how granular values are aggregated.', 'Aggregate rows support discovery of tables containing regional or group-level summaries.']"
reported_values,not_in_ontology,high,3,3,0.014285714,3,0,3,3,0,0,"['$47.0 million; $82.3 million; $32.5 million; $32.3 million; $14.5 million; $50.0 million; 16.2%; $24.5 million', '1%, 1%, 2%, 71%, 77%, 63%, 28%, 23%, 35%, 22%, 25%, 18%, 42%, 46%, 37%, 27%, 23%, 33%, 9%, 7%, 12%', '2.59; 3.53']",3,"['Quantitative values explicitly reported in the table.', 'Numeric values reported in the table cells.', 'Quantitative values reported in the table for the main metric.']","['Reported values make the table discoverable for users seeking specific quantitative evidence.', 'Reported values can support data reuse and value-based discovery when indexed as table metadata.', 'Reported values support analytical reuse and filtering for tables containing numeric results.']"
self_settled_status,population_group,high,3,3,0.014285714,1,0,3,3,0,0,"['Yes; No', 'Self-settled values shown as Yes or No']",2,"['A binary attribute indicating whether a location or group is self-settled.', 'Whether the listed population location is categorized as self-settled.', 'Whether the population/location entry is categorized as self-settled.']","['This field captures a meaningful displacement settlement classification.', 'Self-settled status adds a meaningful settlement classification for filtering and analysis.', 'This provides an additional humanitarian classification useful for filtering and interpretation.']"
ranking_order,not_in_ontology,low,3,3,0.014285714,2,2,1,3,0,0,"['Bars are ordered from highest to lowest value: 15, 10, 6, 4, 2, 2, 2, 1, 0, 0', 'Descending by submitted case count', 'Appears ordered from lowest to highest asset share of foreign banks in the right-hand ranking column (inferred from values)']",3,"['The ordering principle used to arrange categories in the visualization.', 'Ordering principle applied to the displayed categories.', 'The ordering direction used in a ranked table.']","['Ranking information helps users discover charts that compare relative magnitude across categories.', 'Ranking information helps users understand the comparative emphasis of the figure.', 'Ranking order helps interpret whether higher or lower values appear first.']"
commodity_name,category_labels,high,3,3,0.014285714,1,3,0,3,0,0,"['Soybeans', 'Copper', 'Cocoa']",3,"['Commodity or asset represented in the figure or table.', 'Specific commodity or product measured in the figure.', 'Specific commodity or product represented in the figure.']","['Commodity name enables retrieval and comparison across commodity-specific figures.', 'Commodity-level indexing enables discovery and comparison across commodity price figures.', 'Commodity names are central facets for discovering commodity price and volatility figures.']"
coordinate_extent,not_in_ontology,high,3,3,0.014285714,1,3,0,3,0,0,"[""Approximately 18°15' to 19°15' longitude and 45°15' to 45°45' latitude, visible on inset map"", 'Approximately 33°00′N–34°30′N and 35°30′E–36°30′E, based on visible graticule labels', 'Approximately 28°E–31°E longitude and 3°S–4°S latitude']",3,"['The coordinate range or bounding coordinates shown in the snapshot.', 'Latitude and longitude range or graticule coverage shown in the map.', 'Latitude and longitude range visible on the map graticule.']","['Coordinate extent enables geospatial indexing and map-based retrieval.', 'Coordinate extent supports geospatial indexing and map-based retrieval.', 'Coordinate extent enables geospatial indexing and spatial filtering.']"
sector_scope,subject_domain,high,3,3,0.014285714,1,3,0,0,3,0,['Manufacturing sector'],1,"['The economic sector covered by the analysis represented in the figure.', ""The economic sector covered by the figure's analysis."", 'The economic sector or industry context represented by the figure.']","['Sector metadata connects the figure to manufacturing-specific evidence from the source study.', 'Sector scope connects the figure to a specific area of economic activity for discovery and comparison.', 'Sector context is important for filtering figures about manufacturing adjustment and trade policy.']"
geographic_disaggregation,geographic_granularity,medium,2,2,0.00952381,2,0,2,2,0,0,"['Area', 'Urban and rural areas']",2,"['The geographic level or type of geographic breakdown used in the table.', 'The geographic or spatial subgrouping used within the table.']","['Geographic disaggregation enables users to find tables with regional or national breakdowns.', 'This field captures a table-specific geographic breakdown not adequately conveyed by the document record alone.']"
value_axis_range,not_in_ontology,high,2,2,0.00952381,2,2,0,2,0,0,"['0 to 600 households', '0 to 1.4']",2,"['The numeric range displayed for the measured values.', 'Displayed numeric range of the quantitative axis.']","['The displayed range helps interpret the approximate magnitude of values when exact labels are absent.', 'The visible scale helps users understand the magnitude and bounds of the plotted indicator.']"
annex_label,internal_identifier,high,2,2,0.00952381,1,2,0,2,0,0,['Annex 10'],1,"['Annex or appendix label associated with the snapshot.', 'Appendix or annex designation associated with the snapshot within the document.']","['Annex labels help locate and distinguish supplementary analytical content within project documents.', 'Annex labels help users locate and distinguish supplemental analytical materials within project documents.']"
geographic_role,geographic_role,high,2,2,0.00952381,1,1,1,2,0,0,"['Country of birth/origin for 67.7% of the population', 'Country of Asylum']",2,"['The role played by the referenced geography in the statistic.', 'The role played by the listed countries in relation to the population data.']","['Distinguishing a country of origin from a reporting location prevents geographic misinterpretation.', 'Geographic role clarifies that countries are reported as asylum locations rather than origin countries.']"
significance_convention,interpretive_note,high,2,2,0.00952381,1,0,2,2,0,0,"['* significant at 10%; ** significant at 5%; *** significant at 1%', '* denotes statistical significance at 10%; ** at 5%; *** at 1%; standard errors are robust']",2,"['The notation used to indicate statistical significance levels.', 'Legend or note explaining statistical significance markers and uncertainty treatment.']","['Significance conventions support interpretation of regression tables and automated parsing of results.', 'Significance conventions are necessary for interpreting reported results and comparing statistical evidence.']"
geographic_unit,geographic_granularity,high,2,2,0.00952381,1,1,1,2,0,0,"['District', 'Provinces']",2,"['The administrative or geographic level used for comparison.', 'Type of geographic entity used to organize or report the data.']","['Geographic unit helps users filter and compare figures by the level of spatial aggregation.', 'Knowing the geographic unit helps users interpret the level of aggregation.']"
annex_identifier,internal_identifier,high,2,2,0.00952381,1,0,2,2,0,0,"['Annex 9', 'Annex 5.2']",2,"['The annex or appendix identifier associated with the table.', 'A document-internal annex, appendix, or exhibit identifier associated with the snapshot.']","['Annex identifiers help users locate and distinguish supplemental tables within project documents.', 'Annex identifiers help users locate and cite structured data within long project documents.']"
geographic_context,geographic_role,high,2,2,0.00952381,1,2,0,2,0,0,"['Mediterranean Sea; Syrian Arab Republic; Israel; regional inset showing Lebanon’s location in the Middle East/North Africa area', 'Rwanda; Tanzania; Democratic Republic of Congo; Lake Tanganyika; Lake Kivu; Lake Rweru']",2,"['Surrounding or contextual geographies shown in relation to the main area.', 'Adjacent countries or major surrounding geographic features shown for context.']","['Contextual geographies help users understand regional setting and cross-border relevance.', 'Neighboring places and regional features enrich geographic search beyond the document-level country field.']"
geospatial_coordinates,not_in_ontology,high,2,2,0.00952381,1,0,2,2,0,0,"['Longitude (X) and Latitude (Y) columns are provided for many locations, e.g. Lusenda 29,0944 / -3,8879; Maratane Camp 39,25 / -15,255', 'Longitude (X); Latitude (Y), with values shown for many locations such as Lusenda 29.0944, -3.8879']",2,"['Longitude and latitude fields associated with locations in the table.', 'Longitude and latitude coordinate information associated with listed locations.']","['Coordinates enable map-based discovery and spatial analysis of table contents.', 'Coordinates support geospatial indexing, mapping, and spatial analysis.']"
service_type,intervention_type,high,2,2,0.00952381,2,1,1,1,0,1,"['counseling; legal assistance; legal representation', 'Water services / piped water supply, inferred from document metadata and cubic-meter consumption measures']",2,"['The types of services or interventions associated with the reported indicator.', ""The infrastructure or public service to which the table's indicators apply.""]","['Service types provide searchable detail beyond the broad thematic area.', 'Identifying the service type supports sector-specific discovery and comparison across infrastructure tables.']"
series_values,series_labels,medium,2,2,0.00952381,2,2,0,2,0,0,"['2014/15; 2017/18', 'Tariff=10%; Tariff=20%; Tariff=30%']",2,"['The values of the comparison series shown in the legend.', 'The specific values or categories represented by the plotted series.']","['Series values support extraction and comparison of repeated measurements over time.', 'Series values enable filtering and comparison by tariff scenario.']"
